Questions,A,B,C,D,E,F
I cannot start my implementation until my planned Start Date/Time has passed .,True,False,,,,
"In general , a change request should be submitted for  (Select all that apply)",Patching the operating system on the network server,Installing a new network printer,Rebooting the server,Upgrading the memory on the laptop,Decommissioning a server,
I can create an Emergency Change and relate it to a High Priority  Incident that was assigned to me two days ago .,True,False,,,,
Match the change type with the correct description :All accounts have the same Change Management Process requirements .,True,False,,,,
The Change Coordinator and Change Implementer must be different individuals.,True,False,,,,
Work Info entries with these Work Info Types are required when submitting a Change Request (select all that apply):,Test Plan,Risk Assessment,Install Plan,Backout Plan,Post Implementation Review,
You can relate several Impacted CIs to a Change record .,True,False,,,,
"Before saving a Change for the first time, you must enter values for these required fields (select all that apply):",Impacted Areas,Summary,Requested Start Date,CI,Manager Group,Notes
In which Tab can you  create CI unavailability records?,Implementer Tab,Custom Tab,Unavailability Tab,Relationship Tab,Customer Tab,
"When reviewing a change requiring my approval, I noticed  that the planned duration stretches over two days . I should:",Reject the change .,Approve the change and follow up with an e -mail to the requester asking why the change will take so long .,Flag the change for more information .,Modify the plan start /end date  and times myself .,,
"If my change is rejected, I can modify the information on the record and resubmit it for approval",True,False,,,,
"When reviewing a change, I notice there are conflicts with other scheduled changes. I should:",reschedule the change .,Approve the change .,Cancel the change .,Flagged the change for more information .,,
An approved change should include  (Select all that apply) :,A detailed  implementation plan that will provide enough information for another member of the team to complete the change.,One or more CIs impacted by the change,Identification of all impacted areas,"A reasonable amount of time scheduled for the change , including time to test and back out (if necessary)",An attachment to a Test Plan  Work Info entry that includes a details validation plan,
The only way to approve a Change is by opening the ticket in RTMS .,True,False,,,,
The CAB looks carefully at the following items when reviewing a change,Length of the Change window,Down Time Start/End dates,Risk level,Implementer ’s name,Detailed backout plan,
"Before submitting my change for CAB review, I can relate mode Configuration Items",True,False,,,,
Who is responsible for documenting the CAB's review and approval?,The Change Implementer,The Delivery Executive,The Assign ed Group Manager,The Change Manager,,
The change manager is not required to add notes when documenting the CAB's review.,True,False,,,,
Implementation approval occurs during the Implement Stage,True,False,,,,
The change failure reason field is not required when I choose the performance rating of,1,2,3,5,4,
I can move my change to implementation in progress any time  after the record move to the scheduled state.,True,False,,,,
"While I’m  Implementing a Change, I realize I’m going to need an extra 30 -60 minutes to complete it. I should (select all that apply):",Contact the Change Manager Immediately,Contact my Assigned Group Manager,Determine how much extra time I will need,Continue the implementation and notify the Change Manager via email when I’m done,Weight impact of continuing vs. backing out the Change,
The post -implementation  review is completed by the change manager.,True,False,,,,
The Change Manager should always review and close the change manually.,True,False,,,,
"I submitted a Normal Change, but now my customer tells me the change must  be implemented within the next hour. I can modify the change type to Emergency.",True,False,,,,
I can create an emergency change by opening a new change record and then relating it to a critical or high -priority  incident  that was submitted an hour ago.,True,False,,,,
Under what circumstances is an emergency change automatically approved ? (Select  all that apply):,Create d from any incident submitted in the past 24 hours,Implementation is scheduled within 24 hours of  a qualifying  incident creation,Created from a qualifying critical or high priority incident,"New change created, then related to a qualifying incident",,
No approvals are needed from a peer or group manager prior to implementing an Emergency Change.,True,False,,,,
